query_id,query,lifeCycle,department,disease,correct_idx,correct_input,verified,tfidf_top5,sbert_top5,tfidf_score1,sbert_score1
Q001,"예방접종을 어린 시절에 실시하여 6년 동안 건강하게 지내고 있는 것으로 데, 정기적으로 추가 로 접종을 해야 하는지 여쭈어봅니다. 그렇다면 어떤 형태의 주사나 약물을 사용해야 하는지도 함께 알려주시면 감사하겠습니다.",자견,내과,기타,15402,"강아지 예방접종에 관하여 질문 드립니다. 첫 번째 예방접종을 받은 후 2-3주 이내에 두 번째 예방접종을 실시하는 것으로 알고 있습니다. 5차까지의 예방접종이 완료된 경우, 이후에...",True,"[15402, 5362, 1918, 19092, 500]","[12128, 17636, 4875, 12687, 5362]",0.1747,0.7636
Q002,"강아지가 이물질을 섭취한 것으로 보이는데, 이 물질이 장내에서 배출되는지 여부에 대해 판단하기가 어렵습니다. 육안으로 확인해보았을 때는 특별히 배변으로 나오지 않은 것 같지만, 강아지가 활발하게 놀고 있는 상황입니다. 흡연 후 남은 담배 꽁초, 주방에서 사용된 행주 조각, 이불에 달려 있는 상표 택 등을 섭취한 적이 있는데, 현재까지 구토 증상은 보이지 않으며 여전히 잘 놀고 있습니다. 이러한 상황에서 똥으로 배출되지 않는 경우에 대한 조치가 필요할까요?",자견,내과,기타,3847,"제 강아지가 어제 아침에 닭다리 조각과 날개 한 조각, 그리고 치킨 뼈를 섭취하였습니다. 현재 강아지는 매우 활발하게 놀고 있습니다. 병원에 데려가 려고 준비를 하던 중, 강아지는...",True,"[3847, 14831, 9759, 17034, 12677]","[18619, 4055, 2579, 6204, 6256]",0.153,0.8224
Q003,"중성화 수술을 받은 10세의 암컷 포메라니안을 키우고 있습니다. 제 강아지는 어제부터 빈번하게 배변을 보며, 그 형태는 다소 무른 상태입니다. 또한, 일부 배변에서는 점액이 섞인 모습이 관찰되었습니다. 식욕은 양호하며, 전반적인 컨디션도 괜찮은 편이 라고 합니다. 특별히 우려되는 식이 변동은 확인되지 않았습니다. 다만, 과거에 산책하면서 도로에 있는 것으로 음식물을 탐색하는 경향이 있었으나, 최신 산책에서는 그러한 행동이 나타나지 않았습니다. 심장사상충 예방접종 역시 정기적으로 시행되고 있는 것으로 상태입니다. 어떤 건강 검진을 해야 할까요? 목욕 빈도 조정을 어떻게 판단하면 좋을까요 요점 위주로 설명해 주세요. 피부 장벽 관리에 관해 요점만 알려 주세요 실천 기준도 알려 주세요. 재발 예방을 꾸준히 이어 가려면 어떤 기준이 필요할까요? 약물 복용과 부작용을 단계별로 설명해 주실 수 있을까요 실천 기준도 알려 주세요?",자견,내과,기타,15104,"중성화가 이루어진 10세 암컷 포메라니안을 키우고 있습니다. 제 강아지는 어제 이후로 변을 자주 보며, 그 형태가 다소 묽은 편입니다. 이와 함께 일부 점액이 포함된 변의 양상을 ...",True,"[15104, 8671, 10199, 7725, 14237]","[15104, 17030, 485, 19018, 2444]",0.4044,0.9561
Q004,"저희 강아지가 기침을 계속하고 콧물도 멈추지 않은 지 꽤 오래됐어요. 처음에는 감기인 줄 알았는데, 시간이 지나도 나아지질 않아서 걱정입니다. 혹시 단순한 감기가 아니라 다른 심각한 문제일 수도 있을까요? 그리고 병원에 가서 어떤 검사를 받아봐야 정확한 원인을 알 수 있을까요? 온라인에 정보가 너무 많아서 어떤 걸 믿어야 할지 모르겠어요. 목욕과 보습을 짧게 요약해 주실 수 있을까요 요점 위주로 부탁드립니다 간단히 알려 주실 수 있을까요? 알레르겐 회피에서 중요한 포인트를 알려 주실 수 있을까요 짧게 설명해 주실 수 있을까요 실행 순서로 안내해 주실 수 있을까요?",자견,내과,기타,15497,"우리 강아지 왼쪽 윗 잇몸과 볼 쪽에 혹 같은 게 났는데, 이게 단순한 염증인지 아니면 종양인지 너무 걱정됩니다. 어떤 검사를 받아야 정확한 진단을 받을 수 있을까요? 혹시 치과 ...",True,"[15497, 14894, 8567, 12754, 17281]","[7056, 16791, 12863, 8103, 7465]",0.4282,0.8501
Q005,"현재 3세의 암컷 포메라니안 강아지를 기르고 있습니다. 2주에서 3주 전 생리가 끝났음에도 불구하고, 최근 이틀 동안 식사가 불규칙하게 이루어지는 상황입니다. 생리가 종료된 이후에 다시 생리 증상이 나타나는 것인지, 외음부에서 생리혈이 관찰되고 있는데, 이러한 상황이 발생할 수 있는지 궁금합니다.",자견,외과,자궁축농증,6960,"암컷 진도견이 약 6개월 반 정도 되었을 때 생리가 시작되었고, 현재 한 달이 넘도록 생리 기간이 지속되고 있는 상황입니다. 생리량은 매일 많이는 아니지만 한두 방울 정도로 줄어든...",True,"[6960, 7967, 6899, 9826, 15948]","[14802, 7110, 4595, 8365, 1866]",0.266,0.839
Q006,"1년 된 강아지를 분양받았는데, 오늘 검게 변한 설사를 보았습니다. 접종은 단지 1차만 실시된 상태로 알고 있습니다. 접종이 이루어지지 않아서 이러한 증상이 나타난 것인지 궁금합니다. 샴푸 주기를 시작할 때 흔히 하는 실수도 알려 주실 수 있을까요 요점 위주로 부탁드립니다. 진단 필요성을 어떻게 판단하면 좋을까요 핵심만 부탁드립니다. 가려움 완화를 짧게 요약해 주실 수 있을까요 주의할 점도 함께 알려 주세요.",자견,내과,기타,12975,2세의 중성화 수술을 받은 5킬로그램의 암컷 비숑프리제를 기르고 있습니다. 그런데 강아지가 사료를 잘 먹지 않고 간식만을 선호하여 애로사항이 있습니다. 최근 사료 훈련을 진행하기 ...,True,"[12975, 1611, 2673, 2058, 5068]","[13485, 17502, 7099, 17942, 18610]",0.3946,0.8093
Q007,"강아지의 귀에 검은색 딱지가 있는 경우, 이것이 무엇인지 궁금합니다. 귀를 닦으려고 하면 강아지가 아파하는 것처럼 보이는데, 이 상황에 대해 어떻게 해야 할지 조언해 주실 수 있으신가요?",자견,피부과,외이염,294,"강아지 눈에 검은색 이물질 같은게 있는데, 보통 이것이 무엇인지 알 수 있을까요?...",True,"[294, 403, 11509, 6695, 9849]","[2734, 11509, 6278, 18192, 5153]",0.2092,0.8537
Q008,제 반려견인 코코가 만성적인 구토 증상을 나타내어 매우 염려스럽습니다. 이러한 증상에 대해 어떤 조치를 취해야 하는지 조언해 주실 수 있으신가요?,자견,내과,기타,403,"강아지의 발에 물집이 생겼는데, 이에 대해 어떤 조치를 취해야 할지 조언해 주실 수 있으신가요?...",True,"[403, 14605, 9006, 9333, 4082]","[2661, 1662, 10087, 8419, 4797]",0.261,0.8346
Q009,"제 강아지가 잠을 자고 있을 때 숨쉬기가 힘들어하는 모습을 보이고 있습니다. 현재 13세인 노령견으로, 과거에는 이러한 증상이 없었으나 나이가 들어가면서 코고는 현상이 심해지고 있습니다. 어떤 때는 자다 갑자기 눈을 감고 고개를 들며 호흡에 어려움을 겪는 모습을 보입니다. 또한 눈을 감고 졸리는 경우도 있습니다. 원래 기관지 협착증으로 인해 거위와 유사한 소리를 내곤 했었는데, 이러한 현상이 이제 나타나게 된 원인이 기도로 인한 것인지 궁금합니다. 자다가 코가 막히는 소리도 자주 내며, 이러한 증상은 단순히 노령견에게 나타나는 특징이라 볼 수 있는지요? 수의사님의 답변을 부탁드립니다.",자견,내과,기타,1582,강아지가 호흡에 어려움을 겪고 있는 것 같습니다. 왜 이런 현상이 발생하는 것인지 여쭤보고 싶습니다. 자는 중에 갑자기 거위와 같은 소리를 내며 1-2분 정도 지속된 후 현재는 괜...,True,"[1582, 14353, 11117, 12013, 3800]","[10328, 3840, 10289, 13463, 4675]",0.1815,0.8759
Q010,"제가 현재 3살 된 중형견을 기르고 있는 것으로 보호자입니다. 애견 전용 통조림이 나 고기 등을 급여했을 때, 다음 날에는 물과 같은 물질이 섞인 설사를 하며, 때때로 피가 섞이 기도 합니다. 하지만 이후에는 금세 회복되어 이전의 상태로 돌아가 곤 합니다. 이러한 증상이 발생하는 이유가 궁금합니다. 과거에 기르던 반려견에서는 이러한 문제가 없었기에 통조림이 문제일까 싶어 다른 제품으로 시도해보았으나 결과 는 다르지 않았습니다. 결국 설사와 피가 나오는 문제가 계속 나타났습니다. 현재는 더 이상 그런 것을 주지 않으려 하지만, 그 원인을 알고 싶습니다. 다른 강아지들은 그러한 음식을 소화하기도 어려운 상황인데, 저희 강아지는 그걸 처리하는 것조차 힘들어 안타깝습니다. 여행을 갈 때 사료에 식욕을 보이지 않아 그러한 음식으로 기분 전환을 해주곤 했는데, 이번 반려견은 그러한 재미를 줄 수 없어 아쉬움이 큽니다. 과연 장이 예민한 것인지, 아니면 다른 질병이 있는 것인지 알고 싶습니다. 같은 애견 전용 사료를 섭취하고도 이러한 증상을 보이는 것이 이해가 되지 않습니다. 이에 대해 알고 계신 분이 있으시다면 조언을 부탁드립니다.",자견,내과,기타,2598,"안녕하십니까? 최근에 저희 강아지가 음식을 먹지 않아서 매우 우려하고 있습니다. 평소에는 식사 시간마다 잘 먹던 강아지인데, 최근 들어 사료나 간식을 제공해도 전혀 관심을 보이지 ...",True,"[2598, 12173, 7683, 12141, 10849]","[17199, 5030, 4483, 18833, 5591]",0.1266,0.8538
